active	0.01
added	0.996190242875
address	0.970955714747
affect	0.01
afraid	0.01
afternoon	0.947499340369
agree	0.943652478405
agreed	0.01
ahead	0.01
air	0.889898870659
alive	0.01
all	0.01
along	0.378179851393
alot	0.01
alright	0.337335144923
also	0.01
always	0.01
amazing	0.878077445332
among	0.95405450578
and	0.01
anniversary	0.818385605934
anything	0.01
anyway	0.01
apology	0.01
app	0.01
apply	0.96637208155
appreciate	0.997747463039
appreciated	0.997436714784
are	0.01
arrived	0.99998999995
art	0.829156197589
artist	0.01
asap	0.901010543778
ask	0.845218906556
atm	0.821507760158
audience	0.01
available	0.01
awesome	0.991259300082
awkward	0.01
back	0.01
ball	0.01
band	0.01
basically	0.765035946868
bday	0.01
beat	0.258611678004
beautiful	0.948251021618
beauty	0.01
become	0.01
becoming	0.01
bed	0.01
being	0.01
belated	0.657384970926
best	0.826123477454
bestfriend	0.998308569531
better	0.01
beyond	0.01
bhai	0.01
big	0.01
biggest	0.01
bill	0.01
birthday	0.01
bit	0.01
blog	0.99990999595
blue	0.388947297201
board	0.969278081873
body	0.01
book	0.01
books	0.01
born	0.01
bot	0.633577146052
both	0.01
bothered	0.01
boy	0.01
bra	0.01
break	0.983460726211
breaking	0.01
bring	0.01
brings	0.01
bro	0.99492462026
buddy	0.990343374795
bugs	0.01
building	0.01
burger	0.01
business	0.580964714935
butter	0.01
cake	0.01
call	0.01
campaign	0.01
can	0.01
card	0.01
case	0.01
caught	0.636297886214
cause	0.01
certainly	0.166117428345
changed	0.967551032246
changes	0.01
chat	0.01
check	0.879292329092
children	0.01
chips	0.01
choice	0.01
city	0.987674035297
classic	0.01
clicking	0.01
coffee	0.99638346032
collection	0.527257053059
com	0.297245689624
comfortable	0.01
comment	0.9795407087
community	0.999997499997
company	0.01
complain	0.01
complete	0.01
computers	0.01
concert	0.873143745325
confusing	0.01
congrats	0.986587553135
congratulations	0.913444032221
connect	0.988713810969
consistency	0.917376694712
contact	0.01
continues	0.01
cool	0.992952667553
corn	0.980448876791
corner	0.01
countries	0.779743547585
